formulation_id,permeable_cpa,permeable_conc_pct,sugar_cpa,sugar_conc_pct,viability_day1_pct,viability_day7_pct,viability_day15_pct,has_sugar,is_no_sugar_control,is_ra_group
GL_5_NoSugar_0,GL,5,NoSugar,0,42.82,32.18,51.63,0,1,0
GL_5_RA_5,GL,5,RA,5,55.51,39.5,59.11,1,0,1
GL_5_RA_10,GL,5,RA,10,53.37,46.68,53.48,1,0,1
GL_5_RA_15,GL,5,RA,15,59.28,47.18,59.96,1,0,1
GL_5_RA_20,GL,5,RA,20,58.17,49.08,57.4,1,0,1
GL_10_NoSugar_0,GL,10,NoSugar,0,52.45,62.28,60.33,0,1,0
GL_10_RA_5,GL,10,RA,5,73.38,70.19,68.38,1,0,1
GL_10_RA_10,GL,10,RA,10,58.86,70.7,52.52,1,0,1
GL_10_RA_15,GL,10,RA,15,55.11,57.11,67.53,1,0,1
GL_10_RA_20,GL,10,RA,20,52.29,63.59,64.38,1,0,1
GL_15_NoSugar_0,GL,15,NoSugar,0,68.8,70.22,67.67,0,1,0
GL_15_RA_5,GL,15,RA,5,66.68,71.79,69.25,1,0,1
GL_15_RA_10,GL,15,RA,10,71.33,75.65,71.96,1,0,1
GL_15_RA_15,GL,15,RA,15,70.45,77.12,77.64,1,0,1
GL_15_RA_20,GL,15,RA,20,67.39,63.2,67.78,1,0,1
GL_20_NoSugar_0,GL,20,NoSugar,0,66.2,51.0,46.57,0,1,0
GL_20_RA_5,GL,20,RA,5,68.83,48.01,55.42,1,0,1
GL_20_RA_10,GL,20,RA,10,68.33,63.41,52.54,1,0,1
GL_20_RA_15,GL,20,RA,15,72.5,47.71,61.79,1,0,1
GL_20_RA_20,GL,20,RA,20,64.96,48.43,52.03,1,0,1
GL_5_TR_5,GL,5,TR,5,55.34,42.87,54.35,1,0,0
GL_5_TR_10,GL,5,TR,10,40.38,39.74,56.55,1,0,0
GL_5_TR_15,GL,5,TR,15,44.32,47.81,52.77,1,0,0
GL_5_TR_20,GL,5,TR,20,48.97,48.36,57.4,1,0,0
GL_10_TR_5,GL,10,TR,5,56.6,68.97,58.19,1,0,0
GL_10_TR_10,GL,10,TR,10,55.08,48.38,50.87,1,0,0
GL_10_TR_15,GL,10,TR,15,56.32,44.97,71.84,1,0,0
GL_10_TR_20,GL,10,TR,20,51.21,54.69,63.18,1,0,0
GL_15_TR_5,GL,15,TR,5,70.96,67.48,58.81,1,0,0
GL_15_TR_10,GL,15,TR,10,62.76,69.81,71.03,1,0,0
GL_15_TR_15,GL,15,TR,15,69.9,54.99,66.98,1,0,0
GL_15_TR_20,GL,15,TR,20,57.09,48.07,63.72,1,0,0
GL_20_TR_5,GL,20,TR,5,70.81,51.16,42.22,1,0,0
GL_20_TR_10,GL,20,TR,10,62.59,59.01,48.37,1,0,0
GL_20_TR_15,GL,20,TR,15,65.88,65.29,40.61,1,0,0
GL_20_TR_20,GL,20,TR,20,69.02,55.75,49.33,1,0,0
GL_5_LA_5,GL,5,LA,5,48.59,49.52,46.57,1,0,0
GL_5_LA_10,GL,5,LA,10,46.28,49.88,53.36,1,0,0
GL_5_LA_15,GL,5,LA,15,55.78,52.21,55.47,1,0,0
GL_5_LA_20,GL,5,LA,20,48.64,54.57,46.6,1,0,0
GL_10_LA_5,GL,10,LA,5,72.3,71.22,64.19,1,0,0
